"X","author_id","cohort","gender","discipline","doi_lower","pubyear","Jr_Quantile","n_ctr","n_aff","n_colla_ctr","n_colla_aff","sequence_nr","Original_Tweets","Original_Tweeters","len_tweet","len_tweeter","with_tw","self_pro_old","self_tw_time","self_text","others_first","searched","academic_age","most_ctr","colla_ctr_Y","colla_aff_Y","n_pub_3y","n_pub_1st","n_pub_2nd","n_pub_3rd","n_pub_pro_1st","n_pub_pro_2nd","n_pub_pro_3rd","seq_nr_grp_1","min_tw_time","first_firstauthor","PUBLICATIONYEAR","PUBLICATIONMONTH","PUBLICATIONDAY","pub_order","pub_before","tw_others_num","tw_only_self","tw_only_others","discipline_new_author","author_cnt","coauthor_pro_count","coauthor_pro","with_coauthor","SocialOutlet_count","Edu_count","SocialOutlet_pro","Edu_pro","soc_or_edu_pro","max_coa_fncr_5y","max_coa_age","uniqle_dis","discipline_new_pub","self_pro","chinese_name"
41168,57213310368,2012,"male","Medical and Health Sciences","10.1016/j.ciresp.2011.05.007",2012,"Q3",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"esp","N","N",1,1,0,0,0,0,0,"first","",1,2012,8,NA,1,0,0,0,0,"Clinical medicine",6,0,0,1,0,0,0,0,0,0.24157645,12,1,"Clinical medicine",0,NA
514158,57189589361,2016,"male","Agricultural Sciences","10.1364/oe.24.009561",2016,"Q1",1,2,1,2,1,NA,NA,0,0,0,0,"","",0,1,1,"jpn","N","Y",3,1,0,2,0,0,0,"first","",1,2016,5,2,1,0,0,0,0,"Physical sciences and astronomy",4,0,0,1,0,0,0,0,0,0.5660511,21,1,"Physical sciences and astronomy",0,NA
78732,54406441700,2012,"female","Social Sciences","10.1016/j.jml.2011.08.001",2012,"Q1",1,1,1,1,1,0,0,0,0,0,0,"","",0,1,1,"ita","N","N",6,2,2,2,0,0,0,"first","",1,2012,1,NA,1,0,0,0,0,"Psychology",2,0,0,1,0,0,0,0,0,1.0660359,17,NA,"Psychology",0,NA
77765,54791536000,2012,"male","Natural Sciences","10.1016/j.foreco.2011.11.023",2012,"Q1",1,1,1,1,1,1,1,1,1,1,0,"","",1,1,1,"usa","N","N",2,1,0,1,0,0,0,"first","2011-12-12",1,2012,2,15,1,0,1,0,1,"Earth and related environmental sciences",3,0,0,1,0,0,0,0,0,1.7251663,17,NA,"Earth and related environmental sciences",0,0
87367,55224814500,2012,"female","Natural Sciences","10.1016/j.marmicro.2012.03.003",2012,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"usa","N","N",1,1,0,0,0,0,0,"first","",1,2012,9,NA,1,0,0,0,0,"Earth and related environmental sciences",2,0,0,1,0,0,0,0,0,1.9423826,17,1,"Earth and related environmental sciences",0,NA
457350,56606530000,2015,"female","Natural Sciences","10.1128/jvi.03636-14",2015,"Q1",1,1,1,1,1,2,1,2,2,1,0,"","",1,1,1,"usa","N","N",5,1,0,4,0,0,0,"first","2015-03-06",1,2015,NA,NA,1,0,2,0,1,"Biological sciences",9,0,0,1,2,0,1,0,1,2.2231677,20,NA,"Biological sciences",0,0
105358,35069562400,2012,"male","Natural Sciences","10.1109/tnet.2011.2181864",2012,"Q1",1,1,1,1,1,0,0,0,0,0,0,"","",0,1,1,"usa","N","N",2,1,0,1,0,0,0,"first","",1,2012,NA,NA,1,0,0,0,0,"Electrical engineering, electronic engineering,  information engineering ",3,0,0,1,0,0,0,0,0,1.8317653,12,NA,"Electrical engineering, electronic engineering,  information engineering ",0,NA
214166,55516024300,2013,"female","Social Sciences","10.1177/1091142112439225",2013,"Q2",1,1,1,1,1,5,4,5,5,1,0,"","",1,1,1,"deu","N","N",6,1,2,3,0,0,0,"first","2012-06-20",1,2013,1,NA,1,0,5,0,1,"Sociology and political science",1,0,0,0,0,0,0,0,0,0,1,NA,"Sociology and political science",0,0
46493,53982453600,2012,"male","Natural Sciences","10.1109/tps.2011.2173354",2012,"Q2",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,1,"chn","N","N",4,3,0,1,0,0,0,"first","",1,2012,1,NA,2,1,0,0,0,"Electrical engineering, electronic engineering,  information engineering ",4,0,0,1,0,0,0,0,0,0.24702844,17,1,"Physical sciences and astronomy",0,NA
455615,56076342800,2015,"male","Medical and Health Sciences","10.1002/art.39246",2015,"Q1",1,1,1,1,1,17,17,18,18,1,0,"","",1,0,1,"usa","N","N",26,5,8,13,0,0,0,"first","2015-08-31",1,2015,10,1,3,2,17,0,1,"Clinical medicine",5,0,0,1,0,0,0,0,0,2.4342672,20,NA,"Clinical medicine",0,1
