"author_id","cohort","gender","discipline","pubyear","Jr_Quantile","n_ctr","n_aff","n_colla_ctr","n_colla_aff","sequence_nr","Original_Tweets","Original_Tweeters","len_tweet","len_tweeter","with_tw","self_pro_old","self_tw_time","self_text","others_first","searched","academic_age","most_ctr","colla_ctr_Y","colla_aff_Y","n_pub_3y","n_pub_1st","n_pub_2nd","n_pub_3rd","n_pub_pro_1st","n_pub_pro_2nd","n_pub_pro_3rd","seq_nr_grp_1","min_tw_time","first_firstauthor","PUBLICATIONYEAR","PUBLICATIONMONTH","PUBLICATIONDAY","pub_order","pub_before","tw_others_num","tw_only_self","tw_only_others","discipline_new_author","author_cnt","coauthor_pro_count","coauthor_pro","with_coauthor","SocialOutlet_count","Edu_count","SocialOutlet_pro","Edu_pro","soc_or_edu_pro","max_coa_fncr_5y","max_coa_age","uniqle_dis","discipline_new_pub","self_pro","chinese_name","firstauthor_top_100","coauthor_top_100"
4926,2013,"male","Medical and Health Sciences",2015,"Q3",1,1,1,1,1,1,1,1,1,1,0,"","",1,0,3,"ind","N","N",2,1,0,1,0,0,0,"first","2015-11-22",1,2015,11,20,2,1,1,0,1,"Clinical medicine",4,0,0,1,0,0,0,0,0,0.28993335,20,NA,"Clinical medicine",0,0,0,0
4927,2012,"female","Medical and Health Sciences",2014,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,3,"usa","N","N",2,1,0,1,0,0,0,"first","",1,2014,7,1,2,1,0,0,0,"Clinical medicine",4,0,0,1,0,0,0,0,0,0.6874184,14,NA,"Clinical medicine",0,NA,0,0
4928,2016,"female","Social Sciences",2016,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,1,"usa","N","N",2,2,0,0,0,0,0,"first","",1,2016,7,3,1,0,0,0,0,"Humanities",1,0,0,0,0,0,0,0,0,0,1,NA,"Humanities",0,NA,1,0
4929,2016,"male","Natural Sciences",2016,"Q3",2,2,2,2,1,0,0,0,0,0,0,"","",0,1,1,"mys","Y","Y",4,2,0,2,0,0,0,"first","",1,2016,3,1,1,0,0,0,0,"Electrical engineering, electronic engineering,  information engineering ",6,0,0,1,0,0,0,0,0,1.7475979,19,1,"Other engineering and technologies",0,NA,0,0
4930,2016,"male","Natural Sciences",2016,"Q4",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"chn","N","N",3,1,0,2,0,0,0,"first","",1,2016,9,6,1,0,0,0,0,"Earth and related environmental sciences",4,0,0,1,0,0,0,0,0,0.50483245,21,NA,"Earth and related environmental sciences",0,NA,0,0
4931,2014,"male","Social Sciences",2014,"Q1",1,1,1,1,1,1,1,1,1,1,1,"2013-04-15","My article ""Delegation and varieties of capitalism"", just published on Comparative European Politics, available at http://t.co/mtxm9DFXm8.",0,1,1,"ita","N","N",5,2,1,2,2,0,1,"first","2013-04-15",1,2014,5,NA,1,0,0,1,0,"Sociology and political science",1,0,0,0,0,0,0,0,0,0,1,1,"Sociology and political science",1,0,0,0
4932,2015,"male","Natural Sciences",2015,"Q3",1,1,1,1,1,1,1,1,1,1,0,"","",1,1,1,"rus","N","N",1,1,0,0,0,0,0,"first","2015-12-11",1,2015,NA,NA,1,0,1,0,1,"Mathematics",3,0,0,1,1,0,1,0,1,0.19062202,9,1,"Mathematics",0,0,0,0
4933,2015,"female","No_discipline_assigned",2015,"Q1",1,1,1,1,1,23,22,23,23,1,0,"","",1,1,1,"usa","N","N",1,1,0,0,0,0,0,"first","2015-04-30",1,2015,5,1,1,0,23,0,1,"unknown",1,0,0,0,2,0,1,0,1,0,1,NA,"unknown",0,0,1,0
4934,2013,"male","Medical and Health Sciences",2013,"Q3",1,1,1,1,1,1,1,1,1,1,0,"","",1,1,1,"bra","N","N",1,1,0,0,0,0,0,"first","2013-10-25",1,2013,1,NA,1,0,1,0,1,"Clinical medicine",4,0,0,1,0,0,0,0,0,0.4155669,8,1,"Clinical medicine",0,0,0,0
4935,2015,"female","Natural Sciences",2015,"Q1",1,1,1,1,1,3,3,3,3,1,0,"","",1,0,1,"hkg","N","N",6,2,2,2,0,0,0,"first","2014-09-16",1,2015,NA,NA,2,1,3,0,1,"Physical sciences and astronomy",2,0,0,1,2,0,1,0,1,1.0471479,20,NA,"Physical sciences and astronomy",0,0,0,0
4936,2015,"female","Medical and Health Sciences",2015,"Q1",1,1,1,1,1,6,6,6,6,1,0,"","",1,1,1,"deu","N","N",3,1,1,1,0,0,0,"first","2015-08-05",1,2015,8,4,1,0,6,0,1,"Clinical medicine",7,0,0,1,3,0,1,0,1,1.8840718,20,NA,"Clinical medicine",0,0,1,0
4937,2013,"male","Medical and Health Sciences",2013,"Others",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,1,"gbr","N","N",3,2,1,0,0,0,0,"first","",1,2013,NA,NA,1,0,0,0,0,"Clinical medicine",2,0,0,1,0,0,0,0,0,0.59749305,12,1,"Clinical medicine",0,NA,0,0
4938,2013,"male","Medical and Health Sciences",2013,"Q3",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"grc","N","N",1,1,0,0,0,0,0,"first","",1,2013,NA,NA,1,0,0,0,0,"Clinical medicine",1,0,0,0,0,0,0,0,0,0,1,1,"Clinical medicine",0,NA,0,0
4939,2013,"female","Engineering and Technology",2013,"Q1",1,1,1,1,1,0,0,0,0,0,0,"","",0,1,1,"aus","N","N",5,1,2,2,0,0,0,"first","",1,2013,11,22,1,0,0,0,0,"Materials engineering",6,0,0,1,0,0,0,0,0,1.6751353,18,NA,"Materials engineering",0,NA,1,1
4940,2012,"male","Medical and Health Sciences",2012,"Q2",1,2,1,2,1,0,0,0,0,0,0,"","",0,1,1,"usa","N","Y",2,1,0,1,0,0,0,"first","",1,2012,7,NA,1,0,0,0,0,"Clinical medicine",5,0,0,1,0,0,0,0,0,0.32390332,16,NA,"Clinical medicine",0,NA,0,0
